mlog_loss,mstd,accuracy,params
0.9359438000000001,0.1615892855505179,0.37803739999999997,"{'colsample_bytree': 0.43211755706959193, 'eta': 0.01103321633433131, 'gamma': 0.07496542392130971, 'max_depth': 14, 'min_child_weight': 1.132698684118271, 'n_estimators': 3221.8034879886677, 'reg_lambda': 0.6730504546266692, 'subsample': 0.9573976306405175}"
0.935886,0.1639374943589361,0.37574640000000004,"{'colsample_bytree': 0.44124002226960285, 'eta': 0.0036239302545769403, 'gamma': 0.029570193588823488, 'max_depth': 15, 'min_child_weight': 1.176167850968953, 'n_estimators': 2932.4818852109074, 'reg_lambda': 0.7356460168974187, 'subsample': 0.9798401830613472}"
0.9358858000000001,0.16194037978510167,0.37831899999999996,"{'colsample_bytree': 0.4443333569818471, 'eta': 0.010846557270483233, 'gamma': 0.009899423950245522, 'max_depth': 14, 'min_child_weight': 1.1628629385286078, 'n_estimators': 3223.168654810359, 'reg_lambda': 0.7291851323523717, 'subsample': 0.9900115057088775}"
0.9358319999999999,0.1626434932892356,0.37574179999999996,"{'colsample_bytree': 0.43279844757905656, 'eta': 0.01432995501904206, 'gamma': 0.01045866781256442, 'max_depth': 14, 'min_child_weight': 1.1817279625076125, 'n_estimators': 2870.628679033566, 'reg_lambda': 0.7545971248484379, 'subsample': 0.9631808864804576}"
0.9358143999999999,0.15735491595059947,0.38118420000000003,"{'colsample_bytree': 0.4531807099110623, 'eta': 0.0066690265451270605, 'gamma': 0.3555679687036303, 'max_depth': 14, 'min_child_weight': 1.1884200546645627, 'n_estimators': 2723.3996407400896, 'reg_lambda': 0.7606894017176085, 'subsample': 0.971113625466541}"
0.9357918,0.16292520165244037,0.3768866,"{'colsample_bytree': 0.42351493920663935, 'eta': 0.010453890066599582, 'gamma': 0.025334319572963115, 'max_depth': 14, 'min_child_weight': 1.1808043007259141, 'n_estimators': 3188.3995812126473, 'reg_lambda': 0.6770900829635252, 'subsample': 0.9606140042294381}"
0.9357744,0.162936211958241,0.3771834,"{'colsample_bytree': 0.5045936853683325, 'eta': 0.0216658854295747, 'gamma': 0.0964624792843748, 'max_depth': 13, 'min_child_weight': 1.0933655834007763, 'n_estimators': 2427.548661689685, 'reg_lambda': 0.7996566806333201, 'subsample': 0.9226736716650122}"
0.9356776,0.1553344875943145,0.3777482,"{'colsample_bytree': 0.41606350535571934, 'eta': 0.005914512736332328, 'gamma': 0.4137780469765984, 'max_depth': 15, 'min_child_weight': 1.1166669888006875, 'n_estimators': 3183.99252437563, 'reg_lambda': 0.6851605921938742, 'subsample': 0.9710642676851832}"
0.9356722,0.16018820851063856,0.3791826,"{'colsample_bytree': 0.5780271124470368, 'eta': 0.020248782453658166, 'gamma': 0.3350789963297641, 'max_depth': 13, 'min_child_weight': 1.0777957714530362, 'n_estimators': 1370.6260457520307, 'reg_lambda': 0.7563992195889508, 'subsample': 0.9524076147669679}"
0.9356142000000001,0.16314076804361027,0.37689739999999994,"{'colsample_bytree': 0.4513544242997395, 'eta': 0.003956956741304874, 'gamma': 0.0140400026098722, 'max_depth': 14, 'min_child_weight': 1.1242580513466154, 'n_estimators': 3124.9382480794166, 'reg_lambda': 0.7652293834657755, 'subsample': 0.9548734187099106}"
0.9355764000000001,0.16167456622279114,0.3768894,"{'colsample_bytree': 0.438522148409648, 'eta': 0.008998896732098029, 'gamma': 0.0006488633628843055, 'max_depth': 14, 'min_child_weight': 1.1768893934234872, 'n_estimators': 2781.3536404178626, 'reg_lambda': 0.7490865848104514, 'subsample': 0.9607863606728438}"
0.9355518,0.1622610408417225,0.3766038,"{'colsample_bytree': 0.4280123196361695, 'eta': 0.00897520480577962, 'gamma': 0.05254073873038604, 'max_depth': 14, 'min_child_weight': 1.127457382867501, 'n_estimators': 2903.0984183289415, 'reg_lambda': 0.68707141980865, 'subsample': 0.959172571795684}"
0.9355488,0.1632764154382109,0.3768886,"{'colsample_bytree': 0.5120238597699627, 'eta': 0.028718725894568947, 'gamma': 0.038109609040082204, 'max_depth': 13, 'min_child_weight': 1.1232383791681089, 'n_estimators': 3339.3500337490946, 'reg_lambda': 0.7496892153092979, 'subsample': 0.9714239576686751}"
0.9354812000000001,0.16286926481234895,0.3766016,"{'colsample_bytree': 0.44389497795451344, 'eta': 0.010043717714442072, 'gamma': 0.04648423741627313, 'max_depth': 14, 'min_child_weight': 1.1106031180622595, 'n_estimators': 3379.8107172610394, 'reg_lambda': 0.6556017098052288, 'subsample': 0.9414441478336617}"
0.9354202,0.1604758113873263,0.3777524,"{'colsample_bytree': 0.5865938629576037, 'eta': 0.02403275262134951, 'gamma': 0.3683382613269147, 'max_depth': 15, 'min_child_weight': 1.074087490733821, 'n_estimators': 2468.4429397002705, 'reg_lambda': 0.7033511602626159, 'subsample': 0.9163682977582582}"
0.9354077999999999,0.16406893296579259,0.3777544,"{'colsample_bytree': 0.44966715324489975, 'eta': 0.005883298325435538, 'gamma': 0.0012530696929254556, 'max_depth': 14, 'min_child_weight': 1.1375074082877272, 'n_estimators': 3071.233324920059, 'reg_lambda': 0.6952653719088538, 'subsample': 0.9677505215883857}"
0.9353819999999999,0.16392156847024816,0.3780398,"{'colsample_bytree': 0.4470117359059995, 'eta': 0.0036703627866539476, 'gamma': 0.04574061190831609, 'max_depth': 14, 'min_child_weight': 1.0966498920065229, 'n_estimators': 3210.6485560729, 'reg_lambda': 0.7035970132635977, 'subsample': 0.9602608330048906}"
0.9353618000000001,0.15975349671635797,0.3780366,"{'colsample_bytree': 0.4113134613432285, 'eta': 0.005978241448047426, 'gamma': 0.23236625714417994, 'max_depth': 12, 'min_child_weight': 1.142144439785538, 'n_estimators': 2069.1055045045628, 'reg_lambda': 0.7812954969990321, 'subsample': 0.9093386969213896}"
0.9353482,0.16344408750082418,0.37689120000000004,"{'colsample_bytree': 0.5404581400593725, 'eta': 0.025407108123731578, 'gamma': 0.09419258530515501, 'max_depth': 13, 'min_child_weight': 1.1050137022237176, 'n_estimators': 1405.3685858579913, 'reg_lambda': 0.7304348533293995, 'subsample': 0.960353192103068}"
0.935335,0.16033407973284755,0.3766078,"{'colsample_bytree': 0.4655610892558625, 'eta': 0.01538141120936946, 'gamma': 0.2262120219417575, 'max_depth': 12, 'min_child_weight': 1.1834069749113896, 'n_estimators': 3379.812609121724, 'reg_lambda': 0.7239473744666032, 'subsample': 0.9441185854389502}"
0.9353317999999999,0.15834965066998877,0.3797496,"{'colsample_bytree': 0.4527928133107587, 'eta': 0.007088551654148607, 'gamma': 0.2820624615102445, 'max_depth': 14, 'min_child_weight': 1.1925320286231682, 'n_estimators': 2803.087949832796, 'reg_lambda': 0.7353522095832553, 'subsample': 0.9824779759147537}"
0.9352813999999998,0.1701724468027033,0.3766078,"{'colsample_bytree': 0.5336842815344647, 'eta': 0.0013779922649088394, 'gamma': 0.014556432616957047, 'max_depth': 13, 'min_child_weight': 1.1382684394107907, 'n_estimators': 2268.8052414715025, 'reg_lambda': 0.6866891187965672, 'subsample': 0.9257336191317349}"
0.9352736,0.16316024895382114,0.37746399999999997,"{'colsample_bytree': 0.5193195115383477, 'eta': 0.027458635579799995, 'gamma': 0.08715571542479872, 'max_depth': 14, 'min_child_weight': 1.039309730389601, 'n_estimators': 1463.027080549923, 'reg_lambda': 0.6924997242393575, 'subsample': 0.9244637175418329}"
0.935272,0.16206373474985614,0.37833039999999996,"{'colsample_bytree': 0.48280081435254874, 'eta': 0.020522668097296085, 'gamma': 0.1906287655506233, 'max_depth': 13, 'min_child_weight': 1.0965268125410372, 'n_estimators': 2861.608670095635, 'reg_lambda': 0.7383842714048262, 'subsample': 0.9156453261802563}"
0.935267,0.16328934402635337,0.37832560000000004,"{'colsample_bytree': 0.49050561886710153, 'eta': 0.029991849172379598, 'gamma': 0.06194049954809427, 'max_depth': 14, 'min_child_weight': 1.0926206765433084, 'n_estimators': 1234.0448343150006, 'reg_lambda': 0.6474402563914108, 'subsample': 0.909548036672875}"
0.9352468,0.16390479926287882,0.3768962,"{'colsample_bytree': 0.4138654084545803, 'eta': 0.004522031754847909, 'gamma': 0.04013163667400946, 'max_depth': 14, 'min_child_weight': 1.086086567407016, 'n_estimators': 3344.8594250104948, 'reg_lambda': 0.6986112681796057, 'subsample': 0.9574900261406044}"
0.9352419999999999,0.16326496156113057,0.3754582,"{'colsample_bytree': 0.4424914455965343, 'eta': 0.009374569078778712, 'gamma': 0.01956568437610151, 'max_depth': 14, 'min_child_weight': 1.1030676781262034, 'n_estimators': 3122.131206489632, 'reg_lambda': 0.6899797817914585, 'subsample': 0.9647520060173168}"
0.9352342,0.1626101639182563,0.37775939999999997,"{'colsample_bytree': 0.44670601940853966, 'eta': 0.0035274260061879566, 'gamma': 0.0005017869990793546, 'max_depth': 12, 'min_child_weight': 1.1107006198248661, 'n_estimators': 3088.174495445802, 'reg_lambda': 0.7110906977653579, 'subsample': 0.9455780302415494}"
0.9352056000000001,0.16133674161216605,0.3789052,"{'colsample_bytree': 0.5029382169110828, 'eta': 0.0192429039216035, 'gamma': 0.13204336106671827, 'max_depth': 11, 'min_child_weight': 1.145852311594335, 'n_estimators': 1589.5580680015046, 'reg_lambda': 0.7308661234164308, 'subsample': 0.9437709468908461}"
0.9351562,0.1624715163982992,0.3788986,"{'colsample_bytree': 0.4348524521151008, 'eta': 0.007315871491330917, 'gamma': 0.06805775716510222, 'max_depth': 15, 'min_child_weight': 1.1581114211362245, 'n_estimators': 2727.5721024075774, 'reg_lambda': 0.7908254974816269, 'subsample': 0.9721938393567043}"
0.9351555999999999,0.16329725757843508,0.38032380000000005,"{'colsample_bytree': 0.45020741947815296, 'eta': 0.008759725507477705, 'gamma': 0.05115685653849552, 'max_depth': 14, 'min_child_weight': 1.1350795111211847, 'n_estimators': 3418.0845981655875, 'reg_lambda': 0.7075213091487338, 'subsample': 0.9506127924695409}"
0.9351461999999999,0.16083110242483922,0.38004960000000004,"{'colsample_bytree': 0.42131460917594205, 'eta': 0.005712474338093751, 'gamma': 0.1192845421134289, 'max_depth': 11, 'min_child_weight': 1.1437421099464138, 'n_estimators': 1250.4381642653086, 'reg_lambda': 0.6679245029689033, 'subsample': 0.9689309799332934}"
