accuracy,std,params
0.5591863465728686,0.014620785083622396,"{'colsample_bytree': 0.9344897496272171, 'eta': 0.1398953202281841, 'gamma': 0.5965458775452045, 'max_depth': 14, 'min_child_weight': 1.7860387822670494, 'n_estimators': 1060.6501517266645, 'reg_lambda': 0.8380776574037629, 'subsample': 0.6602975461393037}"
0.5594687650745243,0.012532263471182917,"{'colsample_bytree': 0.9972893287724369, 'eta': 0.42100461711162124, 'gamma': 0.38299650502645494, 'max_depth': 5, 'min_child_weight': 1.7651391114662158, 'n_estimators': 251.58374638166242, 'reg_lambda': 0.8743820460118454, 'subsample': 0.9841518894227221}"
0.5594699736319588,0.018202962303988206,"{'colsample_bytree': 0.7199516168252683, 'eta': 0.002619490936585681, 'gamma': 0.16407960700779403, 'max_depth': 12, 'min_child_weight': 1.4485567709025053, 'n_estimators': 361.69868313852953, 'reg_lambda': 0.6773032389806333, 'subsample': 0.65568101749736}"
0.5597306885854488,0.026112630944096053,"{'colsample_bytree': 0.5234123218021395, 'eta': 0.32818653083126464, 'gamma': 0.0879069558041059, 'max_depth': 7, 'min_child_weight': 1.9306613452978842, 'n_estimators': 909.3529549100955, 'reg_lambda': 0.6027981723966012, 'subsample': 0.796977578692482}"
0.5597437484743005,0.012899423628549447,"{'colsample_bytree': 0.5061408486672364, 'eta': 0.20361309682043366, 'gamma': 0.12469277761241486, 'max_depth': 8, 'min_child_weight': 1.5109793150533408, 'n_estimators': 501.52477929109216, 'reg_lambda': 0.6123150716728044, 'subsample': 0.644984394555677}"
0.5597626506792576,0.004333046391074997,"{'colsample_bytree': 0.5459102475299383, 'eta': 0.08614973561789707, 'gamma': 0.19484390598772422, 'max_depth': 7, 'min_child_weight': 1.3701070809475755, 'n_estimators': 1235.6493826768346, 'reg_lambda': 0.8422340288335447, 'subsample': 0.42658372639304676}"
0.559767977311249,0.008348414218349991,"{'colsample_bytree': 0.5228642752324725, 'eta': 0.24980582233465778, 'gamma': 0.19699909404696891, 'max_depth': 4, 'min_child_weight': 1.546675248912184, 'n_estimators': 686.6369977796465, 'reg_lambda': 0.7771437015853933, 'subsample': 0.7649814374191999}"
0.5600545502446969,0.01697701384223406,"{'colsample_bytree': 0.502354059233648, 'eta': 0.1476896666337993, 'gamma': 0.14711727308455, 'max_depth': 5, 'min_child_weight': 1.2154504780243403, 'n_estimators': 815.6225633055714, 'reg_lambda': 0.8233358146830472, 'subsample': 0.6100961627827239}"
0.5603176965697367,0.012092390747559113,"{'colsample_bytree': 0.6426138948133033, 'eta': 0.3967290537365803, 'gamma': 0.11328508988487826, 'max_depth': 7, 'min_child_weight': 1.5557859762662132, 'n_estimators': 876.6293984455887, 'reg_lambda': 0.9886512960071043, 'subsample': 0.9210637584570391}"
0.5603464239429015,0.010177117902833157,"{'colsample_bytree': 0.6523905257809263, 'eta': 0.10524508770592517, 'gamma': 0.029948252992858915, 'max_depth': 7, 'min_child_weight': 1.426073387145541, 'n_estimators': 1597.819782522678, 'reg_lambda': 0.889534574815637, 'subsample': 0.8782928160605711}"
0.5606083239492042,0.01779069954904948,"{'colsample_bytree': 0.8625404774603831, 'eta': 0.11018895888130989, 'gamma': 0.0005707650903127581, 'max_depth': 10, 'min_child_weight': 1.418952227202323, 'n_estimators': 1347.074293210489, 'reg_lambda': 0.9327453778701473, 'subsample': 0.9938718694145441}"
